"AccountID","AccountNumber","AccountName","AccountNameEnglish","ParentID"
"947D72B6-B800-4328-95D8-48C21F16330C","21132",Quyền phát hành,Distribution rights,"486533F1-7685-49C6-B77E-8E88F40B3A89"
"1E46D505-4F51-4F11-B7D2-7536FD0EE7B2","21133","Bản quyền, bằng sáng chế","Copyright, patents","486533F1-7685-49C6-B77E-8E88F40B3A89"
EF747C05-45C3-4303-A7E8-8F7E0C165E1D,"21134",Nhãn hiệu hàng hóa,Trademark,"486533F1-7685-49C6-B77E-8E88F40B3A89"
"13DB0DA6-88BC-4552-93CE-A21410565761","21135",Phần mềm máy vi tính,Software,"486533F1-7685-49C6-B77E-8E88F40B3A89"
C9CBD651-0F86-418A-A906-4F0CD2C643DF,"21136",Giấy phép và giấy chuyển nhượng quyền,License and right concession permits,"486533F1-7685-49C6-B77E-8E88F40B3A89"
"0F4753AD-517A-4B6A-B787-8434444CB78B","21138",TSCĐ vô hình khác,Other intangible fixed assets,"486533F1-7685-49C6-B77E-8E88F40B3A89"
"9E556740-E1B7-4084-BD10-D6CB996D954E","214",Hao mòn TSCĐ,Depreciation of fixed assets,
FE244DCA-37F7-4668-BCEC-EB69B4D71FA4,"2141",Hao mòn TSCĐ hữu hình,Tangible fixed assets depreciation,"9E556740-E1B7-4084-BD10-D6CB996D954E"
"39FA71B5-781B-4BB2-8E13-8202881E8AFA","2142",Hao mòn TSCĐ thuê tài chính,Financial leasing fixed assets depreciation,"9E556740-E1B7-4084-BD10-D6CB996D954E"
BCC296DB-E60E-4F72-9837-C7A6CF88FA05,"2143",Hao mòn TSCĐ vô hình,Intangible fixed assets depreciation,"9E556740-E1B7-4084-BD10-D6CB996D954E"
"5A9434DC-AC38-41F0-97BA-4327ABDD01A4","2147",Hao mòn bất động sản đầu tư,Investment real estate depreciation,"9E556740-E1B7-4084-BD10-D6CB996D954E"
"4879FC66-6DD1-47C4-89B6-1AEB0532D008","217",Bất động sản đầu tư,Investment real estate,
